Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2
342864,yunque,45,12,23,10,90,14,31,0.3111111111111111,0.6888888888888889,6,7,1,0.21432098765432098,0.4629481479111035,0.3111111111111111,0.8863096950261455,0.24246867684922574,-0.24246867684922574
342886,loro,43,11,23,9,90,23,20,0.5348837209302325,0.46511627906976744,9,11,3,0.24878312601406163,0.498781641616912,0.5348837209302325,0.8863096950261455,0.30061190203990873,-0.3006119020399088
342925,yacer,45,12,23,10,90,6,39,0.13333333333333333,0.8666666666666667,2,3,1,0.11555555555555556,0.33993463423951903,0.13333333333333333,0.8863096950261455,0.04237230964528009,-0.04237230964528008
342903,vegada,44,12,22,10,90,32,12,0.7272727272727273,0.2727272727272727,9,16,7,0.1983471074380165,0.4453617714151233,0.7272727272727273,0.8863096950261455,0.013841720837157285,-0.013841720837157285
342868,arsa,45,12,23,10,90,38,7,0.8444444444444444,0.15555555555555556,9,19,10,0.13135802469135802,0.3624334762288909,0.8444444444444444,0.8863096950261455,-0.1411524675098613,0.1411524675098613
342880,alardio,45,12,23,10,90,37,8,0.8222222222222222,0.17777777777777778,9,19,9,0.14617283950617282,0.3823255674241167,0.8222222222222222,0.8863096950261455,-0.12601375321841665,0.12601375321841665
342902,camisa,45,12,23,10,90,44,1,0.9777777777777777,0.022222222222222223,12,23,9,0.021728395061728394,0.14740554623801777,0.9777777777777777,0.8863096950261455,0.12130207518509831,-0.12130207518509822
342884,aviso,45,12,23,10,90,37,8,0.8222222222222222,0.17777777777777778,10,22,5,0.14617283950617282,0.3823255674241167,0.8222222222222222,0.8863096950261455,0.3221794927646118,-0.3221794927646118
342885,rompido,44,12,22,10,90,10,34,0.22727272727272727,0.7727272727272727,4,3,3,0.1756198347107438,0.4190702026042222,0.22727272727272727,0.8863096950261455,0.23944807775726418,-0.23944807775726418
342882,fatacidad,44,12,22,10,90,29,15,0.6590909090909091,0.3409090909090909,10,14,5,0.22469008264462811,0.4740148548775957,0.6590909090909091,0.8863096950261455,0.29706840452804145,-0.29706840452804145
342851,terzo,44,12,23,9,90,25,19,0.5681818181818182,0.4318181818181818,8,12,5,0.2453512396694215,0.49532942540234925,0.5681818181818182,0.8863096950261455,0.1477286948430212,-0.1477286948430212
342922,pemición,43,12,22,9,90,31,12,0.7209302325581395,0.27906976744186046,11,17,3,0.20118983234180637,0.44854189586013743,0.7209302325581395,0.8863096950261455,0.45502810427600643,-0.4550281042760064
342872,lacayo,45,12,23,10,90,13,32,0.28888888888888886,0.7111111111111111,5,7,1,0.2054320987654321,0.4532461789860253,0.28888888888888886,0.8863096950261455,0.128212764530115,-0.128212764530115
342853,pulmones,44,12,23,9,90,37,7,0.8409090909090909,0.1590909090909091,11,22,4,0.1337809917355372,0.3657608395325246,0.8409090909090909,0.8863096950261455,0.37367269699485456,-0.3736726969948546
342873,lampera,45,12,23,10,90,22,23,0.4888888888888889,0.5111111111111111,8,10,4,0.2498765432098765,0.49987652796453297,0.4888888888888889,0.8863096950261455,0.38055338006165235,-0.3805533800616524
342860,antar,44,12,23,9,90,19,25,0.4318181818181818,0.5681818181818182,7,10,2,0.24535123966942143,0.4953294254023492,0.4318181818181818,0.8863096950261455,0.34803878954542344,-0.34803878954542344
342916,hacido,45,12,23,10,90,11,34,0.24444444444444444,0.7555555555555555,4,5,2,0.18469135802469133,0.42975732457363813,0.24444444444444444,0.8863096950261455,0.25888344868206575,-0.25888344868206575
342913,esposante,44,12,23,9,90,28,16,0.6363636363636364,0.36363636363636365,12,11,5,0.23140495867768596,0.48104569292083466,0.6363636363636364,0.8863096950261455,0.37229554584172264,-0.37229554584172264
342909,besar,45,12,23,10,90,44,1,0.9777777777777777,0.022222222222222223,12,23,9,0.021728395061728394,0.14740554623801777,0.9777777777777777,0.8863096950261455,0.23923464828172158,-0.23923464828172142
342898,ladrón,45,12,23,10,90,35,10,0.7777777777777778,0.2222222222222222,12,18,5,0.1728395061728395,0.41573970964154905,0.7777777777777778,0.8863096950261455,0.4121707239220933,-0.4121707239220933
342865,regar,45,12,23,10,90,36,9,0.8,0.2,11,17,8,0.16,0.4,0.8,0.8863096950261455,0.07326078614551443,-0.07326078614551444
342928,frondoso,44,12,23,9,90,9,35,0.20454545454545456,0.7954545454545454,5,3,1,0.16270661157024793,0.4033690761204284,0.20454545454545456,0.8863096950261455,0.2871780574108209,-0.2871780574108209
